%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Thu Feb  6 11:25:44 2020 nblocks = 0 ET = 3.0
drained notdrained mean
-0.7244143881169149 -0.007265312409732161 -0.19857135836041467
-0.7374703048802056 -0.011028803150241018 -0.20329745396367907
-0.7488238472264026 -0.01374490605993195 -0.20717658249741136
-0.7617125351196741 -0.017577799135835903 -0.2115913646875451
-0.7432627556204183 -0.000947292272833522 -0.20323296632711532
-0.7560221366941375 -0.005015263627768718 -0.20780944869345574
-0.768674284959352 -0.009087925677791375 -0.21220946212705524
-0.7811738577952161 -0.01313843915701618 -0.21646669517149844
-0.7338743233323131 0.0 -0.1973288060716522
-0.7464008835974649 -0.003561708446749634 -0.20217550581553326
-0.7340739386527133 0.0 -0.19735118214389152
-0.7433954905602143 -0.0013931178247617026 -0.2008635030577416
-0.7535241053848738 -0.0035056087901228494 -0.20452226747800054
-0.7509046085065592 0.0 -0.20306500471787373
-0.7482824963820303 0.0 -0.2018225083798717
-0.7606442754258111 -0.003453544929696406 -0.20636781566311813
-0.7730788650165552 -0.007158008518134196 -0.21080319382809604
-0.7853744591019529 -0.010923161456823038 -0.2150911045180693
-0.7974936165803772 -0.014726095016612817 -0.21925217609211226
-0.7977824225724142 -0.010972246347156656 -0.2185171281534382
-0.8095562901769124 -0.0148404836209437 -0.22260829240738658
-0.8209610073055789 -0.018630906783359436 -0.22651842537852712
-0.8284735885460135 -0.0200672372339028 -0.22880432148786922
-0.82975748098288 -0.017619461504850165 -0.22853439337110537
-0.840732674191119 -0.0215953018568964 -0.23239937451491852
-0.8514938922428437 -0.02563494030412805 -0.2361712934446645
-0.8620261970001204 -0.030085106453821453 -0.23986080649376623
-0.8723183976936655 -0.034603050657338486 -0.24347530545820253
-0.8823624996459936 -0.039167992994483924 -0.24701996167879436
-0.8921527472212398 -0.04377583591405099 -0.25049964053904705
-0.9016860904454411 -0.04842423931228623 -0.2539176925636055
